"ROCK.NAME","SIO2.WT..","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM.","AVERAGE_LAT","AVERAGE_LON"
"ALKALI BASALT",48.24,39.4,76.5,8.9,36,6.98,2.26,6.76,0.89,4.71,0.79,1.83,0.23,1.34,0.18,24.2193,118.037666666667
"ALKALI BASALT",47.15,17,39,4.9,21.7,5.5,2,5.8,1,5.6,1.1,3.1,0.46,2.7,0.38,63.4,-20.78
"ALKALI BASALT",40.52,54.9,97,11.1,43.5,7.52,2.6,6.51,1,4.8,0.8,2.13,0.26,1.77,0.21,37.50025,130.85635
"ALKALI BASALT",46.02677895,6.57699804968112,16.0046973420447,2.34943025876428,11.4505366323263,3.30684431728288,1.19320515198319,3.70901123005188,0.623883194236352,3.77755727041565,0.785111417714684,2.01793002743446,0.287915936325396,1.68590362253376,0.259586487620638,56.25,-6.4
"ALKALI BASALT, OLIVINE",48.1,35.06,64.04,7.91,31.69,6.59,2.17,6.03,0.92,4.48,0.74,1.66,0.21,1.31,0.19,32.4203,118.9582
"ALKALI BASALT",47.1,32,62.6,7.67,33,6.45,2.25,6.03,0.87,4.43,0.8,1.91,0.27,1.51,0.2,40.1382,114.1468
"ALKALI BASALT / ALKALI BASALT, OLIVINE",47.84,25.3,57.4,7.85,33.5,7.67,2.7,7.53,1.08,6.1,1.04,2.63,0.33,1.95,0.27,-9.75,-139
"ALKALI BASALT",44.8,31.5,62.5,8.1,32.9,7.23,2.32,6.74,0.994,5.07,0.919,2.13,0.284,1.67,0.222,25,-158
"ALKALI BASALT",48,56.7,112,13.3,49.9,9.55,2.26,8.48,1.14,5.86,1.07,2.87,0.41,2.38,0.35,27.83,99.7
"ALKALI BASALT / BASALT",48.4,23.5,47.7,5.91,23.5,5.3,1.73,5.43,0.68,4.05,0.73,2.01,0.25,1.7,0.25,36.835,11.9467
"ALKALI BASALT / BASALT",48,19.3,47.2,5.7,23.5,5.53,1.84,5.75,0.87,4.96,0.9,2.64,0.35,2.23,0.31,-27.045,-109.05
"ALKALI BASALT",48.08,29.5,64.2,7.57,29.5,5.83,1.84,5.21,0.722,4.05,0.769,2.06,0.285,1.85,0.257,64.965,-22.884
"ALKALI BASALT",50.9,134.3,210.4,21.21,67.14,10.11,2.97,8.56,1.16,6.75,1.26,3.56,0.56,3.62,0.57,-77,168
"BASALT / ALKALI BASALT",45.2,27.6,59.9,7.57,31.5,6.61,2.13,6,0.82,4.41,0.831,2.07,0.271,1.69,0.215,-40.32,-9.92
"ALKALI BASALT",49.09,31.23,63.14,7.99,32.95,7.63,2.55,7.83,1.17,6.21,1.11,2.65,0.37,2.2,0.33,40,113.8
"ALKALI BASALT",45.53,21.4,44.5,5.55,23.6,4.78,1.66,5.21,0.766,4.42,0.883,2.26,0.303,1.96,0.296,35.1036,101.8046
"ALKALI BASALT / BASANITE",44.46,36.4,72.2,8.9,35,7.32,2.45,6.35,0.94,4.86,0.87,2.08,0.26,1.52,0.21,40.8,114.5
"ALKALI BASALT",50.84,54.9,109,13.3,52.4,10.9,3.34,9.61,1.4,7.46,1.42,3.55,0.5,3.01,0.44,5.14,-87.54
"ALKALI BASALT",48.4854461588427,26.7509244197049,53.4403151842732,6.58527030052945,28.6182262726405,6.74227534069522,2.27503990831708,6.54871785462114,0.967269353774217,5.227181632132,0.914464227533593,2.28866194995826,0.297089631889906,1.64920746328607,0.226491799542139,44.250722,114.999194
"ALKALI BASALT",46.967,16.8909887947935,38.2591676949205,4.98252607082381,22.1992243372027,5.26630746253492,1.7680727680516,5.28618270944882,0.786947842105263,4.39017752859511,0.831242172060223,2.18969241433763,0.315107183649838,1.92987410365963,0.273147981164996,-36.393234,-69.392026
"ALKALI BASALT",50.38,39.58,83.2,9.94,37.76,8.8,2.36,6.66,1.12,5.69,1.21,3.57,0.45,2.99,0.4,-32.2,-64.6
"ALKALI BASALT",41.42,12.6,26.5,3.44,16.6,4.72,1.61,4.66,0.65,3.76,0.72,1.84,0.23,1.52,0.22,-4.2767,157.4003
"ALKALI BASALT",47.17,46.8,88.6,11,40.54,9.04,2.83,7.92,1.15,6.08,1.09,2.41,0.32,1.79,0.24,32.7223,118.1361
