"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / DELTA KIMBERLIT PIPE","MELILITITE [21526]",131,232,24,78,11.68,3.01,9.06,1.08,4.57,0.69,1.59,0.21,0.91,0.11,67,111
"SIBERIAN TRAPS / ANGARA-TASEEVA REGION / CHADOBETS COMPLEX","MELILITITE [23481]",149.3,307.2,33.9,130,19.8,5.3,14.6,1.8,8.2,1.3,2.7,0.3,1.8,0.2,59,100
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE","MELILITITE, OLIVINE [9615]",73.7,144,16.8,64.3,11.4,3.24,8.18,1.08,5.34,0.87,1.99,0.25,1.4,0.19,-32.4,20.6
"ANDEAN BASINS / ARGENTINA / SALTA RIFT","MELILITITE [11135]",148.1184,301.8521,35.259,139.5043,23.3334,6.4129,17.1363,1.9124,8.464,1.2138,2.6262,0.2671,1.4233,0.201,-23.103,-64.779
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","MELILITITE [23858]",89,168,18.9,69.3,11.4,3.33,9.34,1.16,5.88,0.95,2.46,0.31,1.89,0.26,50.1003,12.3361
"BATHYMETRISTS (GRIMALDI) SEAMOUNT CHAIN / CARTER / SITE 2303","MELILITITE, OLIVINE [13188]",116,200,23.5,78.67,12.54,3.75,11,1.39,6.9,1.14,2.51,0.32,2.25,0.31,9.1283,-21.2617
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MELILITITE, OLIVINE [9727]",84.9,165,19.1,75.5,12.7,3.8,9.41,1.24,5.85,0.892,2.07,0.145,1.34,0.187,-2.735,35.915
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / AMBATOMASINA","MELILITITE, OLIVINE [15764]",84.9,159,18.2,66.4,11.1,3.6,8.9,1.2,5.8,1,2.4,0.29,1.6,0.21,-19.1559,48.9502
"CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","MELILITITE [22536]",90.4,167,20.4,79.2,13.1,3.95,10.5,1.35,6.5,0.99,2.23,0.28,1.59,0.21,34,105
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT","MELILITITE, OLIVINE [15764]",86.4,158,17.8,65.5,10.9,3.55,8.7,1.2,5.7,1,2.4,0.3,1.7,0.22,-19.175,48.8334
